date,USD/KZT,EUR/KZT
2025-07-18,500.4,539.83
2025-07-19,500.29,538.84
2025-07-20,500.8,537.76
2025-07-21,502.02,538.49
2025-07-22,501.84,539.71
2025-07-23,501.65,539.65
2025-07-24,502.91,540.55
2025-07-25,503.53,540.88
2025-07-26,503.15,540.3
2025-07-27,503.58,540.62
2025-07-28,503.21,542.01
2025-07-29,502.84,541.97
2025-07-30,503.03,543.38
2025-07-31,501.5,541.02
2025-08-01,500.12,541.76
2025-08-02,499.67,541.84
2025-08-03,498.86,541.57
2025-08-04,499.12,541.65
2025-08-05,498.39,539.87
2025-08-06,497.26,539.67
2025-08-07,498.43,539.99
2025-08-08,498.25,541.32
2025-08-09,498.31,540.85
2025-08-10,497.17,540.13
2025-08-11,496.73,539.67
2025-08-12,496.82,540.5
2025-08-13,495.9,540.79
2025-08-14,496.2,540.32
2025-08-15,495.72,540.78
2025-08-16,495.48,540.87
2025-08-17,495.0,541.74
2025-08-18,496.48,541.11
2025-08-19,496.47,540.81
2025-08-20,495.63,540.46
2025-08-21,496.29,539.14
2025-08-22,495.31,539.41
2025-08-23,495.48,539.64
2025-08-24,493.91,539.65
2025-08-25,492.85,539.44
2025-08-26,493.0,538.16
2025-08-27,493.59,537.78
2025-08-28,493.73,537.48
2025-08-29,493.64,536.75
2025-08-30,493.4,536.61
2025-08-31,492.22,536.97
2025-09-01,491.64,538.67
2025-09-02,491.27,538.83
2025-09-03,492.12,539.06
2025-09-04,492.39,538.99
2025-09-05,490.98,537.26
2025-09-06,491.24,537.24
2025-09-07,490.93,537.29
2025-09-08,490.39,539.51
2025-09-09,490.88,539.34
2025-09-10,491.7,539.61
2025-09-11,492.45,539.58
2025-09-12,491.78,538.53
2025-09-13,491.53,539.56
2025-09-14,491.8,540.23
2025-09-15,492.58,540.94
2025-09-16,492.19,540.13
