date,type,currency,amount,memo
2025-07-18,inflow,KZT,5000000,invoice
2025-07-25,inflow,KZT,5000000,invoice
2025-08-01,inflow,KZT,5000000,invoice
2025-08-08,inflow,KZT,5000000,invoice
2025-08-15,inflow,KZT,5000000,invoice
2025-08-22,inflow,KZT,5000000,invoice
2025-08-29,inflow,KZT,5000000,invoice
2025-09-05,inflow,KZT,5000000,invoice
2025-09-12,inflow,KZT,5000000,invoice
2025-07-18,outflow,KZT,-6500000,payroll
2025-08-01,outflow,KZT,-6500000,payroll
2025-08-15,outflow,KZT,-6500000,payroll
2025-08-29,outflow,KZT,-6500000,payroll
2025-09-12,outflow,KZT,-6500000,payroll
2025-07-23,outflow,USD,-20000,import
2025-08-13,outflow,USD,-20000,import
2025-09-03,outflow,USD,-20000,import
