date,USD/KZT,EUR/KZT
2025-07-15,500.0,540.0
2025-07-16,500.4,539.88
2025-07-17,500.92,541.25
2025-07-18,500.73,541.04
2025-07-19,501.99,541.73
2025-07-20,501.62,542.21
2025-07-21,501.25,541.8
2025-07-22,501.44,540.07
2025-07-23,500.06,539.57
2025-07-24,499.25,539.85
2025-07-25,498.52,538.58
2025-07-26,499.69,538.38
2025-07-27,499.75,537.09
2025-07-28,499.31,537.19
2025-07-29,498.39,537.53
2025-07-30,497.91,537.27
2025-07-31,497.43,538.94
2025-08-01,497.42,537.98
2025-08-02,498.08,536.89
2025-08-03,498.24,535.12
2025-08-04,497.18,535.3
2025-08-05,497.77,535.45
2025-08-06,497.68,535.18
2025-08-07,496.5,534.53
2025-08-08,496.13,535.49
2025-08-09,496.4,533.9
2025-08-10,496.66,533.55
2025-08-11,496.12,534.1
2025-08-12,496.95,534.94
2025-08-13,496.28,534.66
2025-08-14,496.54,535.54
2025-08-15,496.16,535.37
2025-08-16,495.27,534.3
2025-08-17,495.92,535.52
2025-08-18,495.86,536.42
2025-08-19,496.15,535.84
2025-08-20,496.44,537.22
2025-08-21,496.41,538.63
2025-08-22,494.32,539.37
2025-08-23,494.39,539.1
2025-08-24,494.46,537.31
2025-08-25,494.29,537.64
2025-08-26,495.47,537.17
2025-08-27,494.82,536.72
2025-08-28,495.55,537.01
2025-08-29,495.13,537.48
2025-08-30,495.21,538.35
2025-08-31,494.65,538.05
2025-09-01,494.33,536.74
2025-09-02,494.57,536.97
2025-09-03,494.57,536.76
2025-09-04,493.44,536.38
2025-09-05,493.17,535.66
2025-09-06,493.04,536.02
2025-09-07,494.55,536.18
2025-09-08,494.75,536.11
2025-09-09,493.22,536.09
2025-09-10,493.27,538.31
2025-09-11,493.11,538.58
2025-09-12,493.08,537.52
2025-09-13,494.0,538.2
2025-09-14,494.63,537.38
2025-09-15,495.75,536.12
